time,position,velocity,acceleration,kinetic_energy
0.0,0.0,0.99019,-0.09810000000000096,0.09804762361000001
0.1,0.099019,0.9803799999999998,-0.09810000000000092,0.09611449443999998
0.2,0.197057,0.9705699999999997,-0.09809999999999544,0.09420061248999995
0.30000000000000004,0.294114,0.96076,-0.09810000000000099,0.09230597775999999
0.4,0.39019,0.95095,-0.09810000000000643,0.09043059025
0.5,0.485285,0.9411399999999993,-0.09810000000000099,0.08857444995999987
0.6000000000000001,0.579399,0.9313299999999992,-0.0980999999999899,0.08673755688999986
0.7000000000000001,0.6725319999999999,0.9215200000000003,-0.09810000000000099,0.08491991104000007
0.8,0.7646839999999998,0.9117100000000001,-0.09810000000000099,0.08312151241000003
0.9,0.8558549999999998,0.9019,-0.09810000000001089,0.08134236100000002
1.0,0.946045,0.892089999999999,-0.09810000000000088,0.07958245680999984
1.1,1.035254,0.8822799999999988,-0.09809999999999332,0.0778417998399998
1.2,1.1234819999999999,0.8724699999999996,-0.09810000000000864,0.07612039008999993
1.3,1.2107289999999995,0.8626599999999988,-0.09809999999999332,0.07441822755999979
1.4,1.2969949999999997,0.8528499999999993,-0.09810000000000864,0.07273531224999989
1.5,1.3822799999999995,0.8430399999999986,-0.09810000000001198,0.07107164415999977
1.6,1.4665839999999994,0.8332299999999973,-0.09809999999997111,0.06942722328999955
1.7,1.5499069999999993,0.8234200000000002,-0.09810000000000864,0.06780204964000003
1.8,1.6322489999999992,0.8136099999999994,-0.09809999999999332,0.0661961232099999
1.9,1.7136099999999992,0.8038,-0.09810000000000754,0.064609444
2.0,1.793989999999999,0.7939899999999993,-0.09810000000001198,0.0630420120099999
2.1,1.8733889999999993,0.7841799999999981,-0.09809999999998976,0.0614938272399997
2.2,1.9518069999999987,0.774369999999999,-0.09810000000001198,0.05996488968999985
2.3,2.029243999999999,0.7645599999999979,-0.0980999999999569,0.05845519935999968
2.4000000000000004,2.105699999999999,0.7547500000000023,-0.09810000000002307,0.05696475625000034
2.5,2.1811749999999988,0.7449399999999998,-0.09810000000003417,0.05549356035999997
2.6,2.255668999999999,0.7351299999999965,-0.09809999999998976,0.05404161168999949
2.7,2.3291819999999985,0.7253199999999974,-0.09809999999998976,0.05260891023999963
2.8,2.4017139999999984,0.7155099999999984,-0.098099999999958,0.05119545600999978
2.9000000000000004,2.4732649999999983,0.7057000000000028,-0.09810000000002195,0.049801249000000394
3.0,2.5438349999999983,0.6958900000000006,-0.09810000000003309,0.048426289210000084
3.1,2.6134239999999984,0.6860799999999972,-0.09809999999998976,0.047070576639999626
3.2,2.682031999999998,0.6762699999999984,-0.09809999999998976,0.04573411128999978
3.3,2.749658999999998,0.6664599999999993,-0.09809999999996134,0.04441689315999991
3.4000000000000004,2.816304999999998,0.6566500000000032,-0.09810000000006304,0.04311892225000042
3.5,2.881969999999998,0.6468399999999969,-0.09809999999998976,0.0418401985599996
3.6,2.9466539999999974,0.6370299999999979,-0.09809999999998976,0.04058072208999973
3.7,3.0103569999999977,0.6272199999999989,-0.09809999999998976,0.039340492839999866
3.8,3.0730789999999977,0.6174099999999999,-0.09809999999996355,0.03811951080999999
3.9,3.1348199999999977,0.6076000000000036,-0.09810000000008703,0.036917776000000437
4.0,3.1955799999999974,0.5977899999999948,-0.09809999999993693,0.035735288409999386
4.1000000000000005,3.2553589999999977,0.5879800000000012,-0.09809999999999021,0.034572048040000136
4.2,3.314156999999997,0.5781700000000022,-0.0981000000000404,0.03342805489000025
4.3,3.371973999999997,0.5683599999999981,-0.09809999999994026,0.032303308959999784
4.4,3.4288099999999977,0.5585500000000041,-0.0981000000000826,0.031197810250000457
4.5,3.4846649999999975,0.5487399999999958,-0.09809999999994248,0.030111558759999536
4.6000000000000005,3.5395389999999978,0.5389300000000016,-0.09810000000003596,0.02904455449000017
4.7,3.5934319999999977,0.5291199999999979,-0.09809999999994357,0.027996797439999783
4.800000000000001,3.646343999999998,0.5193100000000036,-0.09810000000003571,0.026968287610000377
4.9,3.6982749999999975,0.5095000000000001,-0.09810000000003374,0.02595902500000001
5.0,3.749224999999998,0.49968999999999664,-0.09809999999994637,0.024969009609999666
5.1000000000000005,3.7991939999999977,0.489880000000002,-0.09810000000003209,0.023998241440000196
5.2,3.8481819999999978,0.4800699999999988,-0.09809999999994802,0.023046720489999884
5.300000000000001,3.8961889999999975,0.470260000000004,-0.09810000000003517,0.022114446760000378
5.4,3.9432149999999986,0.46045000000000047,-0.0981000000000293,0.021201420250000047
5.5,3.9892599999999985,0.4506399999999976,-0.0980999999999952,0.020307640959999786
5.6000000000000005,4.034323999999998,0.44082999999999806,-0.09809999999998323,0.01943310888999983
5.7,4.078406999999998,0.4310199999999997,-0.09809999999999688,0.018577824039999975
5.800000000000001,4.121508999999998,0.42121,-0.09809999999994637,0.017741786409999998
5.9,4.163629999999998,0.41140000000000543,-0.09810000000006983,0.01692499600000045
6.0,4.204769999999998,0.4015899999999984,-0.09809999999999908,0.01612745280999987
6.1000000000000005,4.244928999999998,0.39177999999999846,-0.09809999999997934,0.015349156839999881
6.2,4.284106999999998,0.3819700000000005,-0.09810000000000077,0.014590108090000038
6.300000000000001,4.322303999999998,0.3721600000000005,-0.09809999999994637,0.013850306560000037
6.4,4.359519999999998,0.36235000000000583,-0.09810000000006537,0.013129752250000425
6.5,4.395754999999999,0.3525399999999993,-0.09810000000000352,0.01242844515999995
6.6000000000000005,4.4310089999999995,0.342729999999999,-0.0980999999999749,0.011746385289999932
6.7,4.465281999999998,0.33292000000000144,-0.0981000000000052,0.011083572640000096
