time,position,velocity,acceleration
5.400000000000000355e+00,3.943214999999998138e+00,4.604500000000005255e-01,-9.810000000002930265e-02
5.500000000000000000e+00,3.989259999999998030e+00,4.506399999999975425e-01,-9.809999999999520492e-02
5.600000000000000533e+00,4.034323999999998023e+00,4.408299999999980567e-01,-9.809999999998322839e-02
5.700000000000000178e+00,4.078406999999997673e+00,4.310199999999996812e-01,-9.809999999999687026e-02
5.800000000000000711e+00,4.121508999999997869e+00,4.212100000000000288e-01,-9.809999999994635511e-02
5.900000000000000355e+00,4.163629999999997722e+00,4.114000000000054280e-01,-9.810000000006982579e-02
6.000000000000000000e+00,4.204769999999998120e+00,4.015899999999983927e-01,-9.809999999999909071e-02
6.100000000000000533e+00,4.244928999999998176e+00,3.917799999999985183e-01,-9.809999999997934261e-02
6.200000000000000178e+00,4.284106999999997889e+00,3.819700000000005313e-01,-9.810000000000075604e-02
6.300000000000000711e+00,4.322303999999998148e+00,3.721600000000004904e-01,-9.809999999994635511e-02
6.400000000000000355e+00,4.359519999999998063e+00,3.623500000000058896e-01,-9.810000000006538490e-02
6.500000000000000000e+00,4.395754999999998525e+00,3.525399999999992984e-01,-9.810000000000353160e-02
6.600000000000000533e+00,4.431008999999998643e+00,3.427299999999989799e-01,-9.809999999997490172e-02
6.700000000000000178e+00,4.465281999999998419e+00,3.329200000000014370e-01,-9.810000000000519693e-02
6.800000000000000711e+00,4.498573999999998740e+00,3.231100000000009520e-01,-9.810000000003517295e-02
6.900000000000000355e+00,4.530884999999998719e+00,3.132999999999974694e-01,-9.809999999997212616e-02
7.000000000000000000e+00,4.562214999999998355e+00,3.034900000000002041e-01,-9.810000000000797249e-02
7.100000000000000533e+00,4.592563999999998536e+00,2.936799999999994415e-01,-9.809999999997046083e-02
7.200000000000000178e+00,4.621931999999998375e+00,2.838700000000023427e-01,-9.810000000000963782e-02
7.300000000000000711e+00,4.650318999999998759e+00,2.740600000000014136e-01,-9.810000000003517295e-02
7.400000000000000355e+00,4.677724999999998801e+00,2.642499999999979310e-01,-9.809999999996768527e-02
7.500000000000000000e+00,4.704149999999998499e+00,2.544400000000011097e-01,-9.810000000001269094e-02
7.600000000000000533e+00,4.729593999999998744e+00,2.446299999999998753e-01,-9.809999999996601994e-02
7.700000000000000178e+00,4.754056999999998645e+00,2.348200000000032206e-01,-9.810000000001407872e-02
7.800000000000000711e+00,4.777538999999999092e+00,2.250100000000018474e-01,-9.810000000003489540e-02
7.900000000000000355e+00,4.800039999999999196e+00,2.151999999999983926e-01,-9.809999999994635511e-02
8.000000000000000000e+00,4.821559999999998958e+00,2.053900000000037918e-01,-9.810000000006785514e-02
8.099999999999999645e+00,4.842098999999999265e+00,1.955799999999968675e-01,-9.810000000000020093e-02
8.200000000000001066e+00,4.861656999999999229e+00,1.857699999999968821e-01,-9.809999999994607756e-02
8.300000000000000711e+00,4.880233999999998851e+00,1.759600000000023090e-01,-9.810000000003517295e-02
8.400000000000000355e+00,4.897829999999999018e+00,1.661499999999988264e-01,-9.809999999994607756e-02
8.500000000000000000e+00,4.914444999999998842e+00,1.563400000000042533e-01,-9.810000000005925092e-02
8.599999999999999645e+00,4.930078999999999212e+00,1.465299999999981895e-01,-9.810000000000880516e-02
8.700000000000001066e+00,4.944731999999999239e+00,1.367199999999973437e-01,-9.809999999994635511e-02
8.800000000000000711e+00,4.958403999999998923e+00,1.269100000000027428e-01,-9.810000000003489540e-02
8.900000000000000355e+00,4.971094999999999153e+00,1.170999999999992880e-01,-9.809999999994621633e-02
9.000000000000000000e+00,4.982804999999999040e+00,1.072900000000047011e-01,-9.810000000005050791e-02
9.099999999999999645e+00,4.993533999999999473e+00,9.747999999999951148e-02,-9.810000000001768694e-02
9.200000000000001066e+00,5.003281999999999563e+00,8.766999999999777748e-02,-9.809999999994607756e-02
9.300000000000000711e+00,5.012048999999999310e+00,7.786000000000320442e-02,-9.810000000003503418e-02
9.400000000000000355e+00,5.019834999999999603e+00,6.804999999999973570e-02,-9.810000000004349963e-02
9.500000000000000000e+00,5.026639999999999553e+00,5.823999999999524696e-02,-9.809999999993580799e-02
9.600000000000001421e+00,5.032463999999999160e+00,4.843000000000170086e-02,-9.810000000003496479e-02
9.700000000000001066e+00,5.037306999999999313e+00,3.861999999999823907e-02,-9.809999999994614694e-02
9.800000000000000711e+00,5.041168999999999123e+00,2.881000000000365907e-02,-9.810000000003500642e-02
9.900000000000000355e+00,5.044049999999999478e+00,1.900000000000019382e-02,-9.810000000003483989e-02
